barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8683190185102,,HYMNOX 100 MCG/ML ENJEKSIYONLUK COZELTI ICIN TOZ VE COZUCU (DEVAM) VESPULA,"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,100,mcg/ml,100 MCG/ML,,true,false,
8683190185119,,HYMNOTEST INTRADERMAL ENJEKSIYONLUK COZELTI ICIN TOZ VE COZUCU,"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,,,,,true,false,
8683190185140,,HYMNOTEST INTRADERMAL ENJEKSIYONLUK COZELTI ICIN TOZ VE COZUCU (VESPULA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,,,,,true,false,
8683190185157,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (BETULA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185164,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (D.PTERON.),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185171,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (FELIS),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185188,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (OLEA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185195,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (PARIETARIA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185201,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (PHLEUM),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185225,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (AGACLAR),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
